time	V(out)
	0.000000e+000	1.213128e+001
	1.081879e-009	1.213130e+001
	3.245636e-009	1.213134e+001
	7.573151e-009	1.213141e+001
	1.257315e-008	1.213149e+001
	1.757315e-008	1.213156e+001
	2.013224e-008	1.213159e+001
	2.170454e-008	1.213161e+001
	2.274956e-008	1.213162e+001
	2.358577e-008	1.213163e+001
	2.434685e-008	1.213163e+001
	2.514336e-008	1.213163e+001
	2.613000e-008	1.213162e+001
	2.702224e-008	1.213160e+001
	2.801423e-008	1.213155e+001
	2.894314e-008	1.213146e+001
	2.993874e-008	1.213130e+001
	3.090501e-008	1.213102e+001
	3.192638e-008	1.213057e+001
	3.233441e-008	1.213032e+001
	3.260929e-008	1.213012e+001
	3.279300e-008	1.212996e+001
	3.293476e-008	1.212983e+001
	3.307220e-008	1.212969e+001
	3.324527e-008	1.212951e+001
	3.344672e-008	1.212929e+001
	3.370507e-008	1.212898e+001
	3.400639e-008	1.212861e+001
	3.431615e-008	1.212823e+001
	3.467021e-008	1.212780e+001
	3.509044e-008	1.212732e+001
	3.555026e-008	1.212681e+001
	3.606214e-008	1.212626e+001
	3.657142e-008	1.212572e+001
	3.721579e-008	1.212505e+001
	3.805427e-008	1.212418e+001
	3.889955e-008	1.212332e+001
	3.978241e-008	1.212244e+001
	4.072288e-008	1.212152e+001
	4.174108e-008	1.212053e+001
	4.282965e-008	1.211950e+001
	4.404468e-008	1.211837e+001
	4.539368e-008	1.211715e+001
	4.697526e-008	1.211574e+001
	4.887979e-008	1.211409e+001
	5.086079e-008	1.211240e+001
	5.269413e-008	1.211089e+001
	5.636081e-008	1.210795e+001
	6.369418e-008	1.210230e+001
	7.189517e-008	1.209628e+001
	8.246543e-008	1.208890e+001
	9.464945e-008	1.208087e+001
	1.131263e-007	1.206955e+001
	1.392767e-007	1.205499e+001
	1.727713e-007	1.203880e+001
	2.329769e-007	1.201573e+001
	3.506138e-007	1.198441e+001
	5.335674e-007	1.195740e+001
	8.994745e-007	1.193219e+001
	9.909513e-007	1.192937e+001
	1.173905e-006	1.192707e+001
	1.222630e-006	1.192655e+001
	1.301617e-006	1.192580e+001
	1.305661e-006	1.192576e+001
	1.307699e-006	1.192574e+001
	1.309361e-006	1.192573e+001
